table_name	column_name
MemberCalculation_Actuarial	CongenitalOptionCost
MemberCalculation_Actuarial	VaccinationOptionCost
MemberCalculation_Actuarial	NeonatalOptionCost
MemberCalculation_Actuarial	PhysiotherapyOptionCost
MemberCalculation_Actuarial	OpticalOptionCost
MemberCalculation_Actuarial	OpticalFrameCost
MemberCalculation_Actuarial	StandardLimitFactor
MemberCalculation_Actuarial	ChronicLimitFactor
MemberCalculation_Actuarial	MaternityLimitFactor
MemberCalculation_Actuarial	DentalLimitFactor
MemberCalculation_Actuarial	OpticalLimitFactor
MemberCalculation_Actuarial	StandardDeductibleFactor
MemberCalculation_Actuarial	DentalDeductibleFactor
MemberCalculation_Actuarial	CongenitalDeductibleFactor
MemberCalculation_Actuarial	MaternityDeductibleFactor
MemberCalculation_Actuarial	OpticalDeductibleFactor
MemberCalculation_Actuarial	VaccinationDeductibleFactor
MemberCalculation_Actuarial	RoomTypeFactor
MemberCalculation_Actuarial	PaymentFrequencyFactor
MemberCalculation_Actuarial	NationalityFactor
MemberCalculation_Actuarial	CapChangeFactor
MemberCalculation_Actuarial	ClaimExperienceAdj
MemberCalculation_Actuarial	CostChangeFactor
MemberCalculation_Actuarial	Commission
MemberPremium	ID
MemberPremium	MemberID
MemberPremium	StandardPremium
MemberPremium	MaternityPremium
MemberPremium	MaternityPremiumLoad
MemberPremium	NeonatalPremium
MemberPremium	DentalPremium
MemberPremium	OpticalPremium
MemberPremium	CongenitalPremium
MemberPremium	VaccinationPremium
MemberPremium	PhysiotherapyPremium
MemberPremium	NetPremium
MemberPremium	GrossPremium
MemberPremium	GrossPremiumLoad
MemberPremium	ExpectedClaims
MemberPremium	OfficeRate
MemberPremium	OfficeRatesLR
MemberPremium	TargetedLR
MemberPremium	Discount
MemberPremium	NetPremiumCommission
MemberPremium	MemberFactor
MemberPremium	CreatedBy
MemberPremium	CreatedDate
MemberPremium	ModifiedBy
MemberPremium	ModifiedDate
MemberPremium_Actuarial	ID
MemberPremium_Actuarial	MemberID
MemberPremium_Actuarial	StandardPremium
MemberPremium_Actuarial	MaternityPremium
MemberPremium_Actuarial	MaternityPremiumLoad
MemberPremium_Actuarial	NeonatalPremium
MemberPremium_Actuarial	DentalPremium
MemberPremium_Actuarial	OpticalPremium
MemberPremium_Actuarial	CongenitalPremium
MemberPremium_Actuarial	VaccinationPremium
MemberPremium_Actuarial	PhysiotherapyPremium
MemberPremium_Actuarial	NetPremium
MemberPremium_Actuarial	GrossPremium
MemberPremium_Actuarial	GrossPremiumLoad
MemberPremium_Actuarial	ExpectedClaims
MemberPremium_Actuarial	OfficeRate
MemberPremium_Actuarial	OfficeRatesLR
MemberPremium_Actuarial	TargetedLR
MemberPremium_Actuarial	Discount
MemberPremium_Actuarial	NetPremiumCommission
MemberPremium_Actuarial	MemberFactor
MemberPremium_Actuarial	CreatedBy
MemberPremium_Actuarial	CreatedDate
MemberPremium_Actuarial	ModifiedBy
MemberPremium_Actuarial	ModifiedDate
MembersDistribution	ID
MembersDistribution	ProductName
MembersDistribution	Count
MembersDistribution	NetworkID
MembersDistribution	Ratio
MembersDistribution	Total
MembersDistribution	Average
MembersDistribution	EmpCount
MembersDistribution	EmpRate
MembersDistribution	WifeCount
MembersDistribution	WifeRate
MembersDistribution	ChildCount
MembersDistribution	ChildRate
MembersDistribution	SeniorCount
MembersDistribution	SeniorRate
MembersDistribution	ParentCount
MembersDistribution	ParentRate
MembersDistribution	OppoID
MembersDistribution	CreatedDate
MembersDistribution	PlanID
MemberType	MemberTypeId
MemberType	MemberTypeName
MOHFactor	ID
MOHFactor	BatchID
MOHFactor	Network
MOHFactor	Saudi
MOHFactor	NonSaudi
MOHFactor	TLR
MOHFactor	NetworkID
MonthlyDistribution	TechnicalResultID
MonthlyDistribution	ContractID
MonthlyDistribution	DistributionPeriod
MonthlyDistribution	Exposure
MonthlyDistribution	Premium
MonthlyDistribution	NoOfEpisodes
MonthlyDistribution	ProceesedAmount
MonthlyDistribution	Frequency
MonthlyDistribution	UnitCost
MonthlyDistribution	LossRatioPerMonth
MonthlyDistribution	DataRefreshDate
Nationality	ID
Nationality	Name
Nationality	Status
Nationality	NationalityID
NationalityFactor	ID
NationalityFactor	BatchID
NationalityFactor	NationalityID
NationalityFactor	Factor
NetWork	ID
NetWork	Name
NetWork	Description
NetWork	Status
NetWork	DisplayOrder
Note	ID
Note	UserID
Note	OpportunityID
Note	Notes
Note	CreatedDate
Note	ModifiedBy
Note	ModifiedDate
Opportunity	ID
Opportunity	OpportunityID
Opportunity	QuoteID
Opportunity	SalesPerson
Opportunity	PreparedBy
Opportunity	QuotationDate
Opportunity	GroupSize
Opportunity	Company
Opportunity	InceptionDate
Opportunity	Region
Opportunity	Broker
Opportunity	BrokerCommission
Opportunity	OpportunityType
Opportunity	IPACStatus
Opportunity	AuthorityLevel
Opportunity	PaymentFrequency
Opportunity	ExGratia
Opportunity	IsRenewal
